Typisch Thai|Susy|1|2025-07-07
Typisch Thai|Farah Deeba|3|2023-11-24
Typisch Thai|Yuji Watanabe|5|2023-07-19
Typisch Thai|Con Stroulios|2|2018-06-11
Typisch Thai|Bas CH|4|2020-07-26
Kafi Ziegelstei|Damian Frick|5|2025-05-06
Kafi Ziegelstei|Mathias Fuchs|5|2024-07-07
Kafi Ziegelstei|Carlos Rey|5|2023-07-21
Kafi Ziegelstei|Alicia Wang|5|2025-05-04
Kafi Ziegelstei|Silviu Mihai Preda|5|2023-06-21
Domino’s Pizza|Roshan D|2|2024-11-28
Domino’s Pizza|Clarena Amatha|5|2023-04-30
Domino’s Pizza|Hakim Touzani|1|2025-05-26
Domino’s Pizza|Hanna Brahme|5|2022-10-07
Domino’s Pizza|Bonnie|3|2018-04-15
Brauhaus Winterthur|Cláudia Inês Pereira|4|2023-08-12
Brauhaus Winterthur|Bas CH|5|2022-02-15
Brauhaus Winterthur|darksam644|5|2024-09-03
Brauhaus Winterthur|Lidia Mihaela Pop|4|2022-08-29
Brauhaus Winterthur|Bernhard Winter|5|2019-05-03
Schafli|Helena Vautravers|1|2023-09-05
Schafli|J Hart|3|2024-05-28
Schafli|Javier Bilbao|5|2022-02-19
Schafli|Jan Schmidt|5|2019-08-29
Schafli|Murat Kucaklı|5|2024-02-14
Euro Asia Bazar by Kandhasamy|Denny Cook|5|2025-05-02
Euro Asia Bazar by Kandhasamy|Thomas|5|2021-08-11
Euro Asia Bazar by Kandhasamy|Alexander Smith|5|2024-01-07
Euro Asia Bazar by Kandhasamy|Jonas|5|2023-05-23
Euro Asia Bazar by Kandhasamy|Chantal Blum|5|2020-08-19
China Bowl|How HC|1|2024-10-01
China Bowl|ZeKlumaNax|5|2022-02-13
China Bowl|Cathy S|4|2022-11-15
China Bowl|Con Stroulios|1|2025-02-12
China Bowl|Annie Nguyen|1|2022-04-06
Restaurant Neumarkt|Karin Peter|5|2017-09-02
Restaurant Neumarkt|Maki N.|4|2018-03-23
Restaurant Neumarkt|Micha Huber (Das gelbe M)|5|2015-09-28
Restaurant Neumarkt|Gheorghe Postelnicu|5|2012-12-30
Restaurant Neumarkt|Marcel Wetter|5|2016-06-29
Restaurant Schloss Wülflingen|Ariffin Davies|5|2019-04-22
Restaurant Schloss Wülflingen|Urs Grob (Woerf)|5|2020-02-16
Restaurant Schloss Wülflingen|Sarah Jebet|4|2022-04-18
