restaurantName|reviewerId|rating|reviewDate
Typisch Thai|ManuelaW590|5|2023-01-30
Typisch Thai|simonahaenzi|5|2022-12-09
Typisch Thai|Andreija21|5|2022-08-02
Typisch Thai|513gilbertes|4|2019-11-04
Typisch Thai|weiler_tom|1|2019-09-10
Typisch Thai|scorbisi|1|2019-06-18
Typisch Thai|Lorino75|1|2019-05-29
Typisch Thai|655elisabethh|3|2019-03-26
Typisch Thai|E2426VQ|4|2019-03-07
Typisch Thai|SchallUndRauch|2|2019-03-05
Typisch Thai|LucaP3891|3|2019-02-19
Typisch Thai|ucky1199|2|2019-01-04
Typisch Thai|ziskaemily|5|2018-02-03
Typisch Thai|Chrigel2014|4|2018-01-24
Typisch Thai|janices879|4|2017-11-18
Typisch Thai|Friederike58|4|2017-09-06
Typisch Thai|486jeannineb|5|2017-02-24
Typisch Thai|Mustardkitten|4|2017-02-20
Typisch Thai|jobinoy|3|2017-01-04
Typisch Thai|Singesan|4|2016-06-28
Typisch Thai|juniormejia1989|5|2016-05-05
Typisch Thai|marcwyler2|5|2016-04-17
Typisch Thai|augundohr1|4|2016-02-13
Typisch Thai|hilippS226|4|2015-12-17
Typisch Thai|Roebi71|4|2015-11-25
Typisch Thai|dlovingaddict|1|2015-10-22
Typisch Thai|kiwijazz|4|2015-07-14
Typisch Thai|g1na|2|2015-06-04
Typisch Thai|RetoG248|3|2015-03-25
Typisch Thai|Michelis_8360|5|2015-02-09
Typisch Thai|michaelsX6571GM|4|2015-01-18
Typisch Thai|Inappix|3|2014-08-26
Typisch Thai|mhaefeli|4|2014-07-01
Typisch Thai|GeriM489|3|2014-01-22
Typisch Thai|865DanielC|5|2013-12-22
Typisch Thai|arisjosef|1|2013-10-26
Typisch Thai|374andreash|2|2013-08-13
Typisch Thai|adia11|3|2013-06-23
Typisch Thai|aderico|2|2013-06-09
Typisch Thai|Meerrauschen|4|2012-11-07
Typisch Thai|Feinschmecker_Paar|3|2012-07-10
Typisch Thai|BeKuRo|3|2012-07-02
Typisch Thai|Radvila|3|2012-04-24
Typisch Thai|dg_tipps|5|2010-10-14
Typisch Thai|piiit|4|2010-10-11
Typisch Thai|pooniepie|4|2020-03-09
Typisch Thai|Apenzeller|4|2018-08-06
Typisch Thai|FrankGeisler|3|2017-01-05
Typisch Thai|marcovandaal|5|2015-08-04
Typisch Thai|Morrovalle|2|2013-07-01
Typisch Thai|kuedek|2|2012-05-26
Kafi Ziegelstei|tobiasvE6884NC|5|2024-05-14
Kafi Ziegelstei|ClaudeJaermann|5|2022-09-04
Kafi Ziegelstei|honestPi|5|2022-01-12
Kafi Ziegelstei|Tokenminer|5|2021-09-27
Domino’s Pizza|713ursa|1|2019-10-19
Brauhaus Winterthur|Guide62192233952|5|2024-07-14
Brauhaus Winterthur|SusanneK2346|2|2024-06-13
Brauhaus Winterthur|EWander9|2|2024-04-21
Brauhaus Winterthur|vxlvxc|4|2024-03-13
Brauhaus Winterthur|Seaside08525121628|1|2023-05-28
Brauhaus Winterthur|jolandas811|5|2023-03-25
Brauhaus Winterthur|amueller123|5|2022-11-03
Brauhaus Winterthur|KBerg-Senautka|4|2022-08-03
Brauhaus Winterthur|845natashau|5|2022-02-26
Brauhaus Winterthur|connys757|3|2021-10-15
Brauhaus Winterthur|MarkusH3053|5|2021-06-27
Brauhaus Winterthur|Suri-from-Winterthur|1|2021-06-15
Brauhaus Winterthur|Chris_Roitzschjora|5|2021-06-07
Brauhaus Winterthur|assenger54981992779|5|2020-08-14
Brauhaus Winterthur|MartinaS3971|1|2020-07-18
Brauhaus Winterthur|Satoriosaka|3|2020-02-24
Brauhaus Winterthur|CorneliaL632|3|2020-02-11
Brauhaus Winterthur|TravelNishi|1|2020-01-23
Brauhaus Winterthur|807rolfh|5|2019-09-04
Brauhaus Winterthur|waltik2013|5|2019-08-23
