restaurantName|reviewerId|rating|reviewDate,
Typisch Thai|513gilbertes|4|2019-11-04,
Typisch Thai|E2426VQ|4|2019-03-07,
Typisch Thai|SchallUndRauch|2|2019-03-05,
Typisch Thai|LucaP3891|3|2019-02-19,
Typisch Thai|ziskaemily|5|2018-02-03,
Typisch Thai|Chrigel2014|4|2018-01-24,
Typisch Thai|janices879|4|2017-11-18,
Typisch Thai|Friederike58|4|2017-09-06,
Typisch Thai|486jeannineb|5|2017-02-24,
Typisch Thai|Mustardkitten|4|2017-02-20,
Typisch Thai|marcwyler2|5|2016-04-17,
Typisch Thai|augundohr1|4|2016-02-13,
Typisch Thai|hilippS226|4|2015-12-17,
Typisch Thai|Roebi71|4|2015-11-25,
Typisch Thai|kiwijazz|4|2015-07-14,
Typisch Thai|g1na|2|2015-06-04,
Typisch Thai|RetoG248|3|2015-03-25,
Typisch Thai|Michelis_8360|5|2015-02-09,
Typisch Thai|michaelsX6571GM|4|2015-01-18,
Typisch Thai|Inappix|3|2014-08-26,
Typisch Thai|mhaefeli|4|2014-07-01,
Typisch Thai|GeriM489|3|2014-01-22,
Typisch Thai|865DanielC|5|2013-12-22,
Typisch Thai|Meerrauschen|4|2012-11-07,
Typisch Thai|Feinschmecker_Paar|3|2012-07-10,
Typisch Thai|Radvila|3|2012-04-24,
Typisch Thai|dg_tipps|5|2010-10-14,
Typisch Thai|piiit|4|2010-10-11,
Typisch Thai|pooniepie|4|2020-03-09,
Typisch Thai|Apenzeller|4|2018-08-06,
Typisch Thai|FrankGeisler|3|2017-01-05,
Typisch Thai|marcovandaal|5|2015-08-04,
Typisch Thai|Morrovalle|2|2013-07-01,
Typisch Thai|kuedek|2|2012-05-26,
Kafi Ziegelstei|tobiasvE6884NC|5|2024-05-14,
Kafi Ziegelstei|ClaudeJaermann|5|2022-09-04,
Kafi Ziegelstei|honestPi|5|2022-01-12,
Domino's Pizza|713ursa|1|2019-10-19,
Brauhaus Winterthur|Guide62192233952|5|2024-07-14,
Brauhaus Winterthur|SusanneK2346|2|2024-06-13,
Brauhaus Winterthur|EWander9|2|2024-04-21,
Brauhaus Winterthur|vxlvxc|4|2024-03-13,
Brauhaus Winterthur|jolandas811|5|2023-03-25,
Brauhaus Winterthur|amueller123|5|2022-11-03,
Brauhaus Winterthur|KBerg-Senautka|4|2022-08-03,
Brauhaus Winterthur|845natashau|5|2022-02-26,
Brauhaus Winterthur|Suri-from-Winterthur|1|2021-06-15,
Brauhaus Winterthur|Satoriosaka|3|2020-02-24,
Brauhaus Winterthur|TravelNishi|1|2020-01-23,
Brauhaus Winterthur|807rolfh|5|2019-09-04,
Brauhaus Winterthur|tonybellwald|4|2019-05-18,
Brauhaus Winterthur|Jochanan658|5|2019-04-29,
Brauhaus Winterthur|Boreas95|5|2019-03-07,
Brauhaus Winterthur|ascalG2074|5|2019-03-07,
Brauhaus Winterthur|FamuBusinessReisen|3|2019-02-28,
Brauhaus Winterthur|Skarholt|4|2019-02-26,
Brauhaus Winterthur|EditionTwo|4|2019-02-12,
Brauhaus Winterthur|492fsb|2|2019-02-01,
Brauhaus Winterthur|542rogerr|4|2018-12-02,
Brauhaus Winterthur|georgf387|2|2018-11-13,
Brauhaus Winterthur|patricklZ4290BX|5|2018-11-10,
Brauhaus Winterthur|pionier8|3|2018-08-09,
Brauhaus Winterthur|542rogerr|5|2018-07-27,
Brauhaus Winterthur|ANSGAR_SCHAEFER|5|2018-06-15,
Brauhaus Winterthur|XELA91|2|2018-05-27,
Brauhaus Winterthur|Mezler|2|2018-05-06,
Brauhaus Winterthur|713ursa|4|2018-03-02,
Brauhaus Winterthur|BienZh|5|2018-02-12,
Brauhaus Winterthur|973yvesc|5|2018-02-07,
Brauhaus Winterthur|chraebsrolae|4|2017-12-01,
Brauhaus Winterthur|janices879|3|2017-11-18,
Brauhaus Winterthur|Romifers|2|2017-09-26,
Brauhaus Winterthur|Curious665312|4|2017-09-08,
Brauhaus Winterthur|jasmins963|4|2017-08-22,
Brauhaus Winterthur|katiCH17|4|2017-07-19,
Brauhaus Winterthur|sakas74|4|2017-06-03,
Brauhaus Winterthur|542rogerr|4|2017-05-27,
Brauhaus Winterthur|675angelikag|5|2017-05-17,
Brauhaus Winterthur|alemeier2016|4|2017-05-10,
Brauhaus Winterthur|Tikitom_Casper|5|2017-05-04,
Brauhaus Winterthur|t0c|4|2017-04-28,
Brauhaus Winterthur|Globalsuisse|5|2017-04-12,
Brauhaus Winterthur|AnnaLeeW61|3|2017-04-05,
Brauhaus Winterthur|DanielE924|4|2017-03-03,
Brauhaus Winterthur|SusanneK2346|5|2017-02-13,
Brauhaus Winterthur|12WernerN|3|2016-08-15,
Brauhaus Winterthur|JuiceJus|2|2016-07-21,
Brauhaus Winterthur|RockyGirl83|4|2016-07-20,
Brauhaus Winterthur|Wittyarwen|2|2016-07-16,
Brauhaus Winterthur|peterrD6014JM|5|2016-05-10,
Brauhaus Winterthur|Thomas55588|4|2016-04-24,
Brauhaus Winterthur|dodolauti|4|2016-02-09,
Brauhaus Winterthur|RockyGirl83|5|2016-01-28,
Brauhaus Winterthur|peterrD6014JM|5|2016-01-25,
Brauhaus Winterthur|swissy1983|1|2016-01-23,
Brauhaus Winterthur|ChristopherD3196|5|2016-01-10,
Brauhaus Winterthur|Michelis_8360|3|2015-12-21,
Brauhaus Winterthur|Vespertilio|4|2015-11-17,
Brauhaus Winterthur|verm204|5|2015-11-06,
Brauhaus Winterthur|stegi4rex|4|2015-10-19,
Brauhaus Winterthur|affaisa|3|2015-10-14,
Brauhaus Winterthur|Suri-from-Winterthur|4|2015-09-10,
Brauhaus Winterthur|vinunio|2|2015-07-22,
Brauhaus Winterthur|Steibock|4|2015-05-11,
Brauhaus Winterthur|Widmausl|4|2015-04-10,
Brauhaus Winterthur|WernerB600|4|2015-03-17,
Brauhaus Winterthur|sensoryaddicts|3|2015-02-01,
Brauhaus Winterthur|22SandroF|3|2014-12-26,
Brauhaus Winterthur|timop481|4|2014-12-19,
Brauhaus Winterthur|zabethz649|1|2017-05-30,
Brauhaus Winterthur|99Display_Name99|4|2017-05-20,
Brauhaus Winterthur|Dublogach|5|2016-11-04,
Brauhaus Winterthur|Mattia103|2|2016-09-25,
Brauhaus Winterthur|adrianjones5|4|2016-09-19,
Brauhaus Winterthur|br63|4|2016-09-17,
Brauhaus Winterthur|472marcinm|4|2016-07-13,
Brauhaus Winterthur|Swiss1981|4|2016-06-17,
Brauhaus Winterthur|FormerCaliBoy|3|2015-10-23,
Brauhaus Winterthur|maitai2203|5|2015-07-18,
